Badany;Dzwiek;Harm;Bodp;Dodp;r;Wbez
16195464151;1;0;8;8;0;0
161547854;1;0;6;8;2;2
16195479471;1;0;9;8;-1;1
16195480321;1;0;8;8;0;0
1619548681;1;0;8;8;0;0
1619549305;1;0;8;8;0;0
1619553691;1;0;2;8;6;6
1619554126;1;0;8;8;0;0
1619555666;1;0;8;8;0;0
1619556089;1;0;8;8;0;0
1619633039;1;0;9;8;-1;1
1619727137;1;0;8;8;0;0
1620210498;1;0;8;8;0;0
1620211896;1;0;8;8;0;0
1620251145;1;0;7;8;1;1
16195526562;1;0;7;8;1;1
16195526562;1;0;7;8;1;1
16195464151;2;0;7;8;1;1
161547854;2;0;7;8;1;1
16195479471;2;0;8;8;0;0
1619548681;2;0;8;8;0;0
1619549305;2;0;8;8;0;0
1619553691;2;0;4;8;4;4
1619554126;2;0;7;8;1;1
1619555666;2;0;9;8;-1;1
1619556089;2;0;7;8;1;1
1619727137;2;0;8;8;0;0
1620210498;2;0;7;8;1;1
1620211896;2;0;7;8;1;1
1620251145;2;0;3;8;5;5
16195526562;2;0;7;8;1;1
16195526562;2;0;6;8;2;2
16195464151;3;0;7;6;-1;1
161547854;3;0;6;6;0;0
16195479471;3;0;7;6;-1;1
16195480321;3;0;6;6;0;0
1619548681;3;0;6;6;0;0
1619549305;3;0;6;6;0;0
1619553691;3;0;2;6;4;4
1619554126;3;0;6;6;0;0
1619555666;3;0;6;6;0;0
1619556089;3;0;6;6;0;0
1619633039;3;0;6;6;0;0
1619727137;3;0;6;6;0;0
1620210498;3;0;7;6;-1;1
1620211896;3;0;6;6;0;0
1620251145;3;0;7;6;-1;1
16195526562;3;0;5;6;1;1
16195526562;3;0;5;6;1;1
16195448151;3;0;5;6;1;1
16195464151;1;1;7;7;0;0
161547854;1;1;5;7;2;2
16195479471;1;1;5;7;2;2
16195480321;1;1;9;7;-2;2
1619548681;1;1;8;7;-1;1
1619549305;1;1;8;7;-1;1
1619553691;1;1;2;7;5;5
1619554126;1;1;7;7;0;0
1619555666;1;1;8;7;-1;1
1619556089;1;1;8;7;-1;1
1619600525;1;1;6;7;1;1
1619633039;1;1;6;7;1;1
1619727137;1;1;8;7;-1;1
1620210498;1;1;13;7;-6;6
1620211896;1;1;9;7;-2;2
1620251145;1;1;8;7;-1;1
16195526562;1;1;7;7;0;0
16195526562;1;1;7;7;0;0
16195464151;2;1;6;8;2;2
161547854;2;1;7;8;1;1
1619548681;2;1;9;8;-1;1
1619549305;2;1;8;8;0;0
1619553691;2;1;3;8;5;5
1619554126;2;1;7;8;1;1
1619555666;2;1;8;8;0;0
1619556089;2;1;7;8;1;1
1619600525;2;1;10;8;-2;2
1619727137;2;1;8;8;0;0
1620210498;2;1;12;8;-4;4
1620211896;2;1;6;8;2;2
1620251145;2;1;8;8;0;0
16195526562;2;1;6;8;2;2
16195526562;2;1;8;8;0;0
16195448151;2;1;7;8;1;1
16195464151;3;1;7;6;-1;1
161547854;3;1;6;6;0;0
16195479471;3;1;5;6;1;1
16195480321;3;1;6;6;0;0
1619548681;3;1;6;6;0;0
1619549305;3;1;6;6;0;0
1619553691;3;1;3;6;3;3
1619554126;3;1;6;6;0;0
1619555666;3;1;6;6;0;0
1619633039;3;1;6;6;0;0
1619727137;3;1;6;6;0;0
1620210498;3;1;6;6;0;0
1620211896;3;1;6;6;0;0
1620251145;3;1;6;6;0;0
16195526562;3;1;6;6;0;0
16195526562;3;1;9;6;-3;3
;;;;;0;0
;;;;;0;0
;;;;;0;0
;;;;;0;0
;;;;;0;0
;;;;;0;0
;;;;;0;0
;;;;;0;0
;;;;;0;0
;;;;;0;0
;;;;;0;0
;;;;;0;0
;;;;;0;0
;;;;;0;0
;;;;;0;0
;;;;;0;0
;;;;;0;0
;;;;;0;0
;;;;;0;0
;;;;;0;0
;;;;;0;0
;;;;;0;0
;;;;;0;0
;;;;;0;0
;;;;;0;0
;;;;;0;0
;;;;;0;0
;;;;;0;0
;;;;;0;0
;;;;;0;0
;;;;;0;0
;;;;;0;0
;;;;;0;0
;;;;;0;0
;;;;;0;0
;;;;;0;0
;;;;;0;0
;;;;;0;0
;;;;;0;0
;;;;;0;0
;;;;;0;0
;;;;;0;0
;;;;;0;0
;;;;;0;0
;;;;;0;0
;;;;;0;0
;;;;;0;0
;;;;;0;0
;;;;;0;0
;;;;;0;0
;;;;;0;0
;;;;;0;0
;;;;;0;0
;;;;;0;0
;;;;;0;0
;;;;;0;0
;;;;;0;0
;;;;;0;0
;;;;;0;0
;;;;;0;0
;;;;;0;0
;;;;;0;0
;;;;;0;0
;;;;;0;0
;;;;;0;0
;;;;;0;0
;;;;;0;0
;;;;;0;0
;;;;;0;0
;;;;;0;0
;;;;;0;0
;;;;;0;0
;;;;;0;0
;;;;;0;0
;;;;;0;0
;;;;;0;0
;;;;;0;0
;;;;;0;0
;;;;;0;0
;;;;;0;0
;;;;;0;0
;;;;;0;0
;;;;;0;0
;;;;;0;0
;;;;;0;0
;;;;;0;0
;;;;;0;0
;;;;;0;0
;;;;;0;0
;;;;;0;0
;;;;;0;0
;;;;;0;0
;;;;;0;0
;;;;;0;0
;;;;;0;0
;;;;;0;0
;;;;;0;0
;;;;;0;0
;;;;;0;0
;;;;;0;0
;;;;;0;0
;;;;;0;0
;;;;;0;0
;;;;;0;0
;;;;;0;
;;;;;0;
;;;;;0;
;;;;;0;
;;;;;0;
;;;;;0;
;;;;;0;
;;;;;0;
;;;;;0;
;;;;;0;
;;;;;0;
;;;;;0;
;;;;;0;
;;;;;0;
;;;;;0;
;;;;;0;
;;;;;0;
;;;;;0;
;;;;;0;
;;;;;0;
;;;;;0;
;;;;;0;
;;;;;0;
;;;;;0;
;;;;;0;
;;;;;0;
;;;;;0;
;;;;;0;
;;;;;0;
;;;;;0;
;;;;;0;
;;;;;0;
;;;;;0;
;;;;;0;
;;;;;0;
;;;;;0;
;;;;;0;
;;;;;0;
;;;;;0;
;;;;;0;
;;;;;0;
;;;;;0;
;;;;;0;
;;;;;0;
;;;;;0;
;;;;;0;
;;;;;0;
;;;;;0;
;;;;;0;
;;;;;0;
;;;;;0;
;;;;;0;
;;;;;0;
;;;;;0;
;;;;;0;
;;;;;0;
;;;;;0;
;;;;;0;
;;;;;0;
;;;;;0;
;;;;;0;
;;;;;0;
;;;;;0;
;;;;;0;
;;;;;0;
;;;;;0;
;;;;;0;
;;;;;0;
;;;;;0;
;;;;;0;
;;;;;0;
;;;;;0;
;;;;;0;
;;;;;0;
;;;;;0;
;;;;;0;
;;;;;0;
;;;;;0;
;;;;;0;
;;;;;0;
;;;;;0;
;;;;;0;
;;;;;0;
;;;;;0;
;;;;;0;
;;;;;0;
;;;;;0;
;;;;;0;
;;;;;0;
;;;;;0;
;;;;;0;
;;;;;0;
;;;;;0;
;;;;;0;
;;;;;0;

;Harm;;;
;;;;
